ID,Phys2Final,csem_pre,fmce_pre,Phys1Final,Percentile,Phys2A,VectorCalcPrior,Phys1A,Freshmen,MC,FR
73,53.5,NA,12,57,100,1,0,0,1,32,21.5
4,78.5,21,NA,NA,NA,0,1,0,0,40,38.5
3,64,11,NA,47,97,0,0,0,1,38,26
107,67.5,13,36,87,98,0,1,0,1,32,35.5
423,59,17,NA,NA,NA,0,1,0,0,30,29
201,66,3,8,65,93,1,0,1,1,32,34
196,80,9,44,87,99,0,1,0,1,40,40
193,68,12,38,83,100,0,1,0,1,32,36
183,49.5,5,NA,NA,NA,1,1,0,0,32,17.5
184,67,12,39,96,98,0,0,0,1,34,33
273,68.5,11,16,75,98,0,1,0,1,38,30.5
313,57.5,6,8,70,94,0,0,0,1,30,27.5
298,65.5,15,28,72,97,1,1,0,1,34,31.5
440,74,15,23,82,97,0,1,0,1,34,40
324,48.5,4,9,56,77,1,1,1,1,30,18.5
301,73.5,19,35,93,100,0,1,0,1,38,35.5
291,61,6,45,85,91,1,0,1,1,30,31
230,73.5,8,12,79.5,79,1,1,1,1,36,37.5
93,62,14,NA,NA,NA,0,1,0,0,28,34
374,62,21,46,83,97,0,1,0,1,32,30
349,50,NA,21,51,89,0,0,0,1,28,22
373,76,13,13,69,81,0,1,1,1,36,40
384,61.5,12,17,77,93,0,1,0,1,34,27.5
111,68.5,16,NA,NA,NA,0,1,0,0,34,34.5
404,62,NA,15,78,91,1,0,1,1,28,34
325,53.5,13,30,79,95,0,1,0,1,20,33.5
189,74.5,17,42,85,96,0,1,0,1,36,38.5
22,51.5,16,15,69,78,0,0,1,0,24,27.5
164,70,16,37,81,96,0,0,1,1,36,34
316,75.5,9,NA,NA,NA,0,1,0,0,36,39.5
337,72.5,9,NA,NA,NA,0,1,0,0,36,36.5
74,78,9,31,89,93,0,1,0,0,40,38
347,59.5,13,NA,NA,NA,0,1,0,0,28,31.5
15,44.5,11,NA,NA,NA,1,1,0,0,28,16.5
398,79,27,46,93,100,0,1,0,0,40,39
