GENDER	AGE	PT1	LT1	STEP1	TT1	RESULT1	PT2	LT2	STEP2	TT2	RESULT2	PT3	LT3	STEP3	TT3	RESULT3	PT4	LT4	STEP4	TT4	RESULT4	PT5	LT5	STEP5	TT5	RESULT5	PT6	LT6	STEP6	TT6	RESULT6	PT7	LT7	STEP7	TT7	RESULT7	PT8	LT8	STEP8	TT8	RESULT8	PT9	LT9	STEP9	TT9	RESULT9	PT10	LT10	STEP10	TT10	RESULT10
1	21.91	2671	4406	48	20500	1	16578	19844	17	27047	1	4969	11063	20	17438	1	7422	8469	29	18313	1	4016	9516	42	19875	1	4922	7375	23	13750	1	5328	9062	45	22687	1	5359	6969	39	20250	1	5172	8437	54	33937	1	5094	11141	46	30094	1
1	20.75	74703	76187	47	90047	1	44110	45407	17	50422	1	23640	25562	20	31890	1	27765	28593	27	35828	1	48953	55406	42	73891	1	30469	32703	23	37813	1	45438	49032	36	62250	1	25625	27343	39	44828	1	21797	23125	44	54313	1	160922	162718	48	185250	1
0	22.16	8079	14907	58	55219	1	3203	20000	29	28688	1	8828	14157	22	20625	1	2406	26203	29	32766	1	3375	8812	42	14937	1	2391	12610	23	17032	1	4578	28641	50	53875	1	2469	15250	41	25484	1	6688	11578	50	33641	1	6578	10172	71	42750	1
0	20.66	969	23625	60	66657	1	13765	14968	17	19765	1	25203	27281	24	34016	1	80078	80890	31	91172	1	1562	13750	44	21375	1	1078	17125	29	24234	1	828	22484	54	31078	1	891	59188	47	69032	1	1640	23172	50	39047	1	31328	32953	48	47703	1
1	19.91	15406	16625	46	35344	1	20704	21750	17	27110	1	9969	11391	22	19141	1	43297	44156	29	55875	1	11203	18547	42	30531	1	11969	14453	23	24266	1	14344	18188	29	30938	1	80422	85484	39	110109	1	27141	28578	44	48141	1	20531	22235	46	47125	1
0	20.66	26812	29640	45	75094	1	38469	40000	17	46969	1	14922	17453	20	30828	1	16250	55453	29	73468	1	12344	21250	44	47688	1	16282	20516	23	49453	1	25359	30125	50	78000	1	141078	144250	39	166110	1	56375	61813	44	88282	1	34719	38156	47	102016	1
0	19.25	40407	41688	47	61641	1	5766	19469	17	23953	1	9218	10671	22	16218	1	10063	11047	27	18906	1	5922	10141	42	18594	1	2641	27703	23	35016	1	8922	16219	50	29610	1	7015	9187	39	29359	1	7063	24484	48	42766	1	13938	15875	46	29500	1
0	19.16	2390	15875	47	37828	1	30297	68250	43	72984	1	8078	13156	22	19125	1	16688	17781	27	25500	1	2641	9094	42	15656	1	8110	10485	23	14750	1	14922	22938	47	37922	1	1844	11140	39	21531	1	11890	13515	44	30297	1	1937	21172	50	35484	1
0	19.75	12125	13797	48	35578	1	24218	27187	17	31531	1	8125	12907	22	19735	1	9375	10484	27	20187	1	23859	31187	42	42047	1	8906	12531	23	19281	1	27219	31328	57	52985	1	16703	19203	41	33734	1	29391	34344	46	51219	1	33766	36937	48	58781	1
0	21.91	6938	18204	45	43204	1	8609	20516	17	24766	1	2563	11719	22	18094	1	22875	23937	27	32656	1	5000	12125	42	20235	1	8125	9953	23	14797	1	16110	19891	49	35266	1	9922	11313	39	22610	1	17453	25313	44	39532	1	12235	13938	48	30063	1
1	20.66	10000	14625	45	34375	1	7265	8359	17	11640	1	14391	15891	20	19750	1	10984	11765	27	18078	1	1360	6360	44	12313	1	8265	20640	41	36656	1	1375	14625	47	27156	1	4875	5781	39	19672	1	9234	10078	44	21812	1	7547	8719	50	23906	1
0	20.25	9329	10735	52	39782	1	17391	18547	17	23422	1	26000	27547	20	44734	1	18765	19625	29	28656	1	53360	65563	42	81047	1	16422	26515	23	33968	1	25437	35531	46	67343	1	15438	16875	35	41594	1	26657	27188	44	63953	1	81094	83703	48	110234	1
0	21.16	3157	4938	46	21969	1	3234	10375	31	51234	1	8125	10062	22	19078	1	1235	10047	29	19500	1	1531	18406	44	30328	1	6765	9265	23	16765	1	12672	55188	42	70344	1	1719	14906	39	29984	1	1921	5828	62	38031	1	4500	10672	48	32047	1
0	19	23688	25641	52	52688	1	44125	51016	17	58203	1	11234	19250	24	29266	1	9859	13562	27	28281	1	43672	54750	44	66078	1	59454	71907	29	98313	1	31781	38937	47	68468	1	29079	33047	41	61500	1	38688	59063	44	95422	1	36219	42828	47	77656	1
0	20.66	21875	23250	52	72750	1	25907	28344	19	34235	1	18297	19828	20	37187	1	19437	20406	29	30000	1	44875	54875	44	66407	1	22297	25063	23	34281	1	27969	31484	36	42437	1	21469	24375	39	39813	1	35562	35968	44	57125	1	78891	80485	46	102641	1
0	20.58	25968	27156	46	44922	1	16906	18594	17	22687	1	18297	19781	20	25531	1	29235	30860	34	41016	1	6547	11453	42	21125	1	28765	31984	23	39765	1	14437	21359	38	30703	1	10500	15797	39	28328	1	52406	53406	44	67641	1	31078	32766	46	50516	1
0	19.66	34985	36329	46	57797	1	15437	16453	17	21203	1	56172	59687	20	66594	1	14516	15969	27	25563	1	27578	32906	42	42187	1	57406	60266	23	66750	1	59141	62719	36	73282	1	20359	23047	39	35250	1	23875	25109	44	46141	1	15219	17250	46	33500	1
