"GENDER" "AGE" "PT1" "LT1" "STEP1" "TT1" "RESULT1" "PT2" "LT2" "STEP2" "TT2" "RESULT2" "PT3" "LT3" "STEP3" "TT3" "RESULT3" "PT4" "LT4" "STEP4" "TT4" "RESULT4" "PT5" "LT5" "STEP5" "TT5" "RESULT5" "PT6" "LT6" "STEP6" "TT6" "RESULT6" "PT7" "LT7" "STEP7" "TT7" "RESULT7" "PT8" "LT8" "STEP8" "TT8" "RESULT8" "PT9" "LT9" "STEP9" "TT9" "RESULT9" "PT10" "LT10" "STEP10" "TT10" "RESULT10"
"64" 0 20.333 20063 39469 46 73532 1 42203 43921 17 48609 1 13235 14453 20 24657 1 34922 37187 30 100672 0 40687 46344 42 58875 1 17063 32922 28 72688 0 32562 36203 47 58156 1 17172 18250 39 36062 1 32406 44937 46 70687 1 43000 44500 46 74797 1
"65" 1 21.583 6125 8016 46 25297 1 8782 10953 17 15047 1 10578 17422 20 25891 1 12016 12953 27 20438 1 5078 9750 42 17375 1 6297 8188 23 13000 1 12453 15375 36 27016 1 8203 10375 39 33875 1 11719 13110 46 32391 1 20687 22093 48 42250 1
"66" 0 22.5 8922 10438 48 36328 1 21266 22109 17 29562 1 20063 21469 20 27657 1 8781 9860 27 21016 1 10219 16313 42 25985 1 41937 43922 23 55953 1 22531 32734 45 51125 1 8625 21344 39 34422 1 16046 17234 46 40031 1 14093 22172 46 39562 1
"67" 0 20.583 6797 7922 46 25656 1 12578 13266 17 16797 1 8781 11141 20 15828 1 11156 12000 27 18547 1 11922 16219 42 23344 1 17265 19078 23 23953 1 13750 22813 29 29750 1 5828 7031 39 16391 1 5954 6907 44 19719 1 8781 10235 70 33500 1
"68" 0 21.6668 10500 17390 52 32453 1 9234 12687 17 15687 1 4640 5484 22 9015 1 6609 7312 29 12984 1 3688 7547 42 12469 1 9953 12969 23 16250 1 9891 12469 45 23891 1 9813 11875 39 19531 1 8937 10687 44 26140 1 10344 11344 47 22531 1
"69" 0 20.6668 59891 61407 47 87938 1 11937 23344 19 29453 1 14313 16453 22 26297 1 28016 32063 29 50859 1 16844 39094 42 53625 1 43000 45765 23 51656 1 36797 43937 29 63031 1 27891 32453 33 47859 1 53500 56468 44 93406 1 10828 12890 48 75390 1
"70" 0 21.167 36125 38063 48 86406 1 33125 34360 17 43516 1 35063 37750 20 95969 1 34172 36172 27 51969 1 114453 122875 44 137047 1 347547 364172 23 386563 1 58032 62969 36 76719 1 107422 110000 39 140203 1 61890 63390 44 99218 1 90000 92406 46 127109 1
"71" 0 19.833 12641 15047 45 44157 1 13218 15781 17 22593 1 19907 22047 20 33360 1 26125 27734 27 45891 1 24297 47750 44 65531 1 12000 16672 25 28750 1 14375 22985 36 43797 1 25641 27985 39 51813 1 13984 23469 46 69219 1 114437 117500 50 157062 1
"72" 0 20.25 23297 25281 46 47234 1 50188 52813 17 57704 1 18359 19781 20 26500 1 13625 15000 27 24235 1 32641 38750 42 50282 1 12468 16921 23 24906 1 34656 39234 36 48796 1 17797 24359 39 42922 1 48875 49922 46 79781 1 57922 62797 46 92344 1
"73" 0 20 11282 12782 46 59735 1 32844 33844 17 38859 1 45250 47000 22 55750 1 22657 24297 29 35954 1 64000 70641 42 91563 1 27297 29656 23 37125 1 15672 22719 36 37578 1 9297 10860 11 100547 0 16375 17500 46 39438 1 117594 119906 46 156000 1
"74" 0 21.667 6390 10359 48 29250 1 3860 41610 17 46797 1 4718 7406 22 13750 1 12828 13953 27 22515 1 5485 28375 54 39391 1 8016 10203 23 16047 1 1953 25562 66 55515 0 2532 19000 33 32047 0 3578 10187 66 70359 0 21938 52469 36 66485 0
"75" 0 20.167 26922 28593 46 47437 1 27875 29140 17 35109 1 39437 41719 22 50531 1 49219 52344 29 64485 1 148406 156813 44 171547 1 36265 37671 49 132953 0 70578 77203 47 95922 1 46515 48484 39 64015 1 27468 30890 64 69750 1 11532 13344 34 71938 0
"76" 0 20.917 8563 11391 46 54078 1 25031 27797 19 37437 1 20875 26641 20 40281 1 13907 17297 29 42391 1 44594 63297 42 84765 1 7938 18407 23 31782 1 31578 45953 45 85015 1 102328 106062 39 131187 1 15937 19094 44 63828 1 27359 29156 19 99093 0
